file,experiment_id,mbti_a,mbti_b,final_score_a,final_score_b,total_rounds,use_rag
experiment_results_20260523_174247,0554802a-a053-4dfa-9e63-e4f1df076543,ISFJ,ESFP,93,97,50,True
experiment_results_20260523_175201,a4688741-3b61-4eae-bf7b-0d1c1de8af9a,ISFJ,ESFJ,100,100,50,True
experiment_results_20260523_180039,805baf18-382b-4f0f-9417-43b7dc44206a,ISFJ,ISFP,100,100,50,True
experiment_results_20260523_181022,f374018f-242d-4b00-ada0-6d1eba77ea5c,ISFP,INTJ,89,101,50,True
experiment_results_20260523_182013,6f5e2694-cfef-4e3f-831c-d73eb2b26989,ISFP,ENTJ,75,95,50,True
experiment_results_20260523_182952,3d7ccbb0-139a-4a34-b69d-22c9abafb973,ISFP,INTP,100,100,50,True
experiment_results_20260523_184113,5674e9bc-6421-4668-b33c-557e0937d17e,ISFP,ENTP,23,67,50,True
experiment_results_20260523_185053,a6a59e0f-316c-4575-8579-95dc4463b4ac,ISFP,ENFP,101,97,50,True
experiment_results_20260523_185954,25d3c0a2-dd42-4420-9b95-86e8d1ba4c6b,ISFP,ENFJ,101,97,50,True
experiment_results_20260523_190839,a22d2e61-ddcd-4f92-b419-fc74248e8e5a,ISFP,INFJ,100,100,50,True
experiment_results_20260523_191916,f61c1bce-ef30-4d8b-a7af-76172da4c6bc,ISFP,INFP,60,60,50,True
experiment_results_20260523_192810,ee9c6591-ae53-4cfa-bc7d-a5db675b377d,ISFP,ESTJ,98,98,50,True
experiment_results_20260523_193823,780cdbc6-8c23-407f-9f3b-8ac58b0fd1d6,ISFP,ESTP,21,25,50,True
experiment_results_20260523_194712,3d79e4a2-5a84-4bb4-bdb9-a93314325513,ISFP,ISTJ,100,100,50,True
experiment_results_20260523_195633,0bb79646-e6ed-49fc-aa0f-ab07b1b41b99,ISFP,ISTP,95,99,50,True
experiment_results_20260523_200630,46615572-35e8-4fb4-a510-0c12e71896cf,ISFP,ESFP,79,83,50,True
experiment_results_20260523_201520,9e6ad614-396f-4a3c-ae8b-638ad9489a40,ISFP,ESFJ,101,97,50,True
experiment_results_20260523_202404,2c0b7368-6a6b-4f13-b201-0d5bb4dcba08,ISFP,ISFJ,100,100,50,True
